,Actor,Quotes
131,Tovino Thomas,"So, quite often, there are hardly any breaks. But that’s fine with me as, at one point of time, I had stayed home for months without work. I have taken all the rest I needed then.I have no qualms about doing a character who may be below the lead in the pecking order, whether it’s a hero or a villain or a comedian.2019 is proving to be a golden year of Malayalam cinema... As an actor, I have always classified films as either good ones or bad ones... I had five films that released this year in the cinemas and our audiences liked every one of them.All I have tried to do as an actor is push good story telling.I want to be a part of good stories. It’s not about my role, but the overall story that counts.Maayanadhi' was a film I enjoyed working in.For me, Malayalam films remain the most important. I don't want to do more Tamil films just for the sake of it.My fan base is in Malayalam cinema, and that's where I want it to be.I have only two conditions to choose a project - content with substance and space to perform.Movie, being an art form, should have artistic value and should do justice to the artistes."
132,Uday Kiran,"I am proud to say that I was launched in Tamil through 'Poi' by Balachander sir, who was the one who launched the legends like Rajni sir, Kamal sir & Prakash Raj sir.I have worked very hard to shed away my chocolate boy image in order to get a tough look for this action entertainer. I am confident of my success and would love to dedicate the same to Director Balachandar sir.We all have ups and downs in our career, and as an actor going through a rough patch, all I can do is keep working as hard as I can and hope for the best.I have always watched my close friends fall in love, but I never thought it would happen to me.I have met many people, and everyone's impression of me is based on my career.I don't let anything kill my spirit.I know that a lot of people take inspiration from the fact that I was just a common man with no film background who turned into a star.I am not a kind of person now who broods over the failures and negatives.I did my first film when I was in the final year of my graduation. At that time, I was still a kid, and I couldn't read the industry very well.I am not a fitness freak, but I do my regular exercises."
133,Varun Dhawan,"I used to have lot of arguments with my mother due to a lot of bruises on my body for trying my hand at wrestling. I used to say, 'I am Rock,' and I would get slapped.I have this dream of directing. But as a child, I wanted to become a wrestler. Like, in childhood, we used to watch WWF; I was inspired by all of that. One of my favourite wrestlers was Rock, who has become an actor.I wanted to be performer; like, I used to dance at weddings. I felt acting was my calling, and that is something I wanted to do.To do your first film is a dream.I am very happy for anyone who is in love.It's not easy to put a smile on people's faces.I think it's unfair for people to decide what my strength is after just three films.I am a huge fan of shows like 'Breaking Bad,' 'Dexter,' 'The Mentalist.'Anything I do in life, the first person I share it with is my elder brother. He always tells me the way to take it forward.My brother starting earning early in life. I stopped taking money from my parents, and my brother would give me the pocket money."
134,Varun Sharma,"I have always stayed true to my craft.I am not the fittest guy, I don't have biceps and six-pack abs.I am not a conventional hero. I am a regular guy trying to entertain people.I want to be associated with content and characters that will be embedded in the hearts and minds of people for a long time.Traffic snarls or jet life doesn't make a city fast.The character of Chandigarh appears to be slow, but people here are quite competitive.I do not get caught up in mundane, routine things.Basically, life isn't just about eating and partying - we need to figure out unique ways in which we can add to our curiosity levels, besides satisfying the wanderer in us.You can wine and dine all around the globe but the joy of coming back home to a meal cooked by your mom is pure bliss.Cooking is one thing I would love to learn but I keep procrastinating."
135,Varun Tej,"'Fidaa' completely sticks to being a love story. It doesn't have any digressions. Opposites attract, they say.I love to listen to talkative girls. I like 'hyper' types.My father feels that Kammula garu has done magic. At home, he is the best critic. My mother and sister kind of like everything that I do.I came out of the failure of 'Mister' rather fast. It took me just three days.I intend to keep reinventing myself both as a performer and also in terms of my looks for as long as possible.I'd rather be called a good actor than be labelled a good-looking guy. I have been working towards it all along, and I hope to be able to go far ahead, because that's my foremost goal.I can do anything I want with the rest of my body, but the face is something I've inherited. I should thank my parents for it.While love stories at the end of the day, honestly speaking, do not vary a lot in their plots, it is their treatment that separates one from the other.My constant endeavour is to offer something new to the audience. Every movie I pick, including 'Loafer', which offers a strong mother sentiment, tries to give the audiences a sense of watching something different.Right from my first movie, I have tried hard to make sure I am not typecast."
136,Vicky Kaushal,"Whatever understanding I have of filmmaking is because of my stint as an assistant director on 'Gangs of Wasseypur.'Working with Anurag sir was always a dream. He is the person I started my journey with.I did not have any inclination towards cinema. The atmosphere at home was not filmy, and we would never discuss anything related to films.I was an industry kid but was never brought up like one.I think all my films have a different journey. Therefore, I take it as it comes.When I am playing the protagonist of the film, before the release, I feel a certain pressure because I become the face of the film, then, and I have a major responsibility.We tend to say that some films are made for multiplex audience and some for single-screen theatres.I know that in Bollywood, there is this constant talk on which actor's film is minting how much money, but we are living in a time where the focus is shifting from 'actor's responsibility' to the result of a great team work. I believe filmmaking is about that.It is probably the best validation, the best compliment: that when somebody says you are getting good things in life, and you deserve this.When you take this journey of becoming an actor, there are only destinations - one, where people give you that limelight and expect the world from you, and two, they don't know who you are, and they don't care what you are doing. You have to choose where you want to go."
137,Vijay,"I am like a friend to my kids. My wife, Sangeeta, handles their studies, etc.I liked Michael Jackson and used to practice his steps. I enjoy dancing!I wanted to get into films, and my parents were against it. I convinced my mom, and finally she convinced my dad. My dad then felt, who best to launch his son than him? So he launched me, and here I am.I've the highest respect and regards for Shankar sir. He has taken Tamil cinema to a new level. I would have loved to work with him, but there are some date hassles.Controversies are part and parcel of making a big film.I can't stop people from writing imaginative stories about me entering politics.Even today, people tell me that the slapstick humour in 'Friends' is the most viewed comedy track on television. Siddique knows the art of mixing slapstick with genuine humour.My son, Sanjay, and I discuss a lot of things. Like, he gives me feedback on my films and what his friends say at school.As for pressure, there's always the desire to give my best to every film. After all, so many people put in so much of hard work.My closest friends today are, in fact, my friends from college."
138,Vijay Deverakonda,"I think there is no need for anything. There is only a choice of role that an actor has to make. He must live by it.Cricket, politics, and cinema is what a majority in our country are most passionate about. They have the power to divide the best of friends depending on which side you are on.I like Chandrababu Naidu because he is the person who developed the city of Hyderabad and created the software boom. I also like K.T. Rama Rao for his work and the way he helps through Twitter and responds to many causes.Post-'Pellichoopulu,' I received a lot of offers from Tamil industry. I decided I won't do a Tamil film unless I know the language. If I want to do it, I wanted to do it perfectly.Everybody in the two Telugu states, especially the residents of Vijayawada, love both cinema and politics. And 'NOTA' is a cinema with a political subject.I have always fought for respect, I have always fought for survival, so fighting is nothing new to me.Those trying to drag me down through piracy, I want to tell them that I will somehow achieve what I want. I am focused enough to achieve what I want and give the audience what I can.The approach I take in selecting a script is based on what I fancy from the the scripts I'm offered.A learning experience is the best way to sum up my first film credit. It's hard to break into the film industry, and it was a minor role but still my only shot at the movies while I was doing theater.My father came to Hyderabad to become an actor, took an acting course, and realised he was camera conscious."
139,Vijay Sethupathi,"I had no interest in cinema until I was 24 years old. My friends had posters of their favourite stars in their houses, but I was far from a film buff - very detached from films.I came to cinema for money. I had to settle a loan of Rs 10 lakh. I had no other go, so I thought I'd try my luck in films. I was earning Rs 25,000 at that time. It was not even enough for my family.I used to be very photogenic. My brother took a lot of pictures of me in Dubai. I thought maybe I could be a movie star. There was a hurdle, though - I didn't know anything about films.I was always under the impression that acting is an innate gift. One of the first things I heard them say at Koothu-P-Pattarai was that actors should realise the art of acting through their training.Why are numbers so important? I take up a film I like, give it my best, and move on.I believe life is an 'experience ball.' You throw it at someone, it picks up their response... it grows. You play with that ball, learning what it teaches you.Your present is shaped by your yesterday, but you don't have to advertise it.I'm self-taught. Even today, on the sets, I probe the lightmen, the stunt artistes... they are from a period I've not seen; I can visualise it through them.When an actor decides to play a character, he must exude some sort of charisma and look relatable, even if he is playing the role of a really unattractive person.I surrender to my directors. I do that because I respect them immensely. In fact, a director's talent scares me. I admit that they're more intelligent than me, and I submit to that, as an assistant director does. Even when I have suggestions to make, I don't state them strongly."
140,Vikram,"Catching a culprit becomes really easy when there are video footages from the crime scene.I informed Malayalam filmmakers that I can do a film for free if the role excites me.Money is important, but it's not the only driving factor for me.I have an obsession for quality.The trouble is that in south cinema, after you become successful at the box office, market realities dictate your choice of films, and it becomes difficult to experiment.In 'Anniyan,' the character I did had three different looks in the film, and I was able to carry it off.I started the trend of doing only one film at a time.I'm an actor who believes in looking different in every film of mine.I was riding pillion on my friend's motorbike, and we met with an accident which badly injured my right leg. I was bedridden for three years and used crutches for one year before I fully recovered.You will see a different Susi Ganesan in 'Kanthaswamy.'"
141,Vikrant Massey,"I have seen ups and downs. When my chips are down, I remind myself of the time when Aamir Khan spoke to me over the phone and praised my work in 'Dil Dhadakne Do.' What big a validation that is, someone of Aamir Khan's stature to be initiating a call with someone like me. It's a confidence boost!'Lootera' happened nearly 10 years after television. It was the first film I auditioned for.I never thought the media would be interested in me - this is very surreal.From my experience, I can affirm that I don't really know how the women see the world like, but it seems to be quite different from how men do.One thing is for sure: that women are far more compassionate, empathetic, sensitive, and emotional in comparison to men.I would be lying if I would say that I never wanted to be a lead actor. But at the same time, I would say it's a lot of responsibility also; it's too much responsibility.I always believed in curating content, and the only way to do in our country is by turning producer. So then, I thought, lets turn producer and see how it goes.Anything that's good and has a certain amount of quality, slowly but surely, it will be accepted.It feels really grateful, thankful, and happy when your work is appreciated.I think what I look for in a script, it's the relatability quotient that matters the most."
142,Vishnu Vishal,"One thing I have realised is that there are no certainties. Anything can happen anytime.I felt cheated because a lot of people wanted a relationship with my father, and they played me.I won’t say no if I’m approached for a Hindi film.I keep myself away from negativity because it leaves me agitated.I never thought I was an achiever and was always low on confidence.I’m a sportsman. I am used to failures, and bouncing back from them.When I help people around me. It gives me immense happiness.I get angry very fast, and it’s intense. I start breathing heavily, and don’t like it.I have the perfect family, but I would not mind having more dogs around me.My ideal destination is a place where my family is; it could be anywhere in the world and it’ll still be home."
143,Vivek Oberoi,"All I did was make the best of the opportunity that I got in 'Company.'Thanks to the wonderful support system provided by my father, I was never insecure about my future.I'm very secure in my life.I concentrate on acting while my dad handles the business side of my career.Hits and flops will always be there for any actor.'Masti' did so well. It was unexpected and clicked very well with masses.I believe in one principle: Do your work and leave the rest to God.All I can say is I am lucky I have never had any misunderstandings with my co-stars.There is less plastic in Tupperware factory than our film industry. People with plastic smile and plastic heart.If you love someone truly, just look into her eyes. You will find your soul in her."
144,Aditi Rao Hydari,"I don't really understand why we are paid less than the male actors, because we put equal efforts, and recent past has shown that actresses can deliver a hit film. We deserve better pay, equal to what actors get.Though all actors do not make good directors, Dhanush is really one of the finest. He knows exactly how to direct an actor to extract the performance the way he wants it. Perhaps that is happening because he is a performer himself.I must say that Dhanush wears the hat of director and actor pretty seamlessly.I was born to an illustrious family in Hyderabad.My mother is a Chitrapur Saraswat from Mangalore and half-Telugu, and my father is a Bohri Muslim. My mother's father, J Rameshwar Rao, was the Raja of Wanaparthy, a principality of Hyderabad. He was influenced by the socialist movement and became the first Raja to give up his title.My great grandfather from my father's side, Sir Akbar Hydari, was the prime minister of the Nizam of Hyderabad. He was instrumental in setting up the Osmania university. His wife set up the Hydari club for women so that they could play tennis, and she also set up the first girls' school in Hyderabad.My family was extremely progressive. My parents had a love marriage, but they separated when I was two years old. I moved to Delhi with my mom, who got involved with the family business.I'm really pleased with the way my career is shaping up. How many actresses get a chance to work with legends like Mani Ratnam and Sanjay Leela Bhansali?Good cinema has no regional or linguistic boundaries.I consider myself as a director's actor, so I'm open to work with filmmakers from across the country and even abroad."
145,Aishwarya Rai Bachchan,"Even in India the Hindi film industry might be the best known but there are movies made in other regional languages in India, be it Tamil or Bengali. Those experiences too are different from the ones in Bombay.I always believed that my silence on several topics will be an advantage in the long run.I know for a fact that if there's a role which I am suited for, I'll be signed on. I'll never go begging.I was more excited than scared, at the opportunity to work in an English movie.I'm not the type who'll yell about my achievements from the rooftops.Right now, I'm following the Buddhist principle: Smile as abuse is hurled your way and this too shall pass.I have a great story to tell... and I tell it well. No holds barred.I was studying to be an architect, I wasn't plotting to join the movies. Films were just another career option. I took acting up with the same schoolgirl enthusiasm I had for examinations. Acting is a job and I take it very seriously.My family is my strength and my weakness.Sexy in India is not considered positive. But, with today's crop of fresh faces in the modelling arena, being sexy is an asset."
146,Aishwarya Rajesh,"I have definitely not turned glamorous.I want to be choosier. I can't let quality take a back seat... not after 'Kaaka Muttai.'I had a lot of Marwari friends, both in Holy Angels School and Ethiraj College.I am a huge fan of Shah Rukh Khan; I have not missed any of his films since I got hooked to 'Dilwale Dulhania Le Jayenge.'I like multi-tasking.I felt that I should become a film actress first, and then come back to serials and earn good remuneration from it.I used to visit one production house every day, and I used to take up auditions even for small roles. Before my debut, I must have auditioned at almost every single production house.After acting in a critically acclaimed film like 'Kaaka Muttai,' I didn't get any offers for more than a year.My gut told me 'Kanaa' was worth taking up, and it's a dream role for any actor.I am not interested in doing a film on the basis of a good story. I want a proper screenplay."
147,Amala Akkineni,"There's is a fine line between living one's truth and looking good.What I find most deplorable is cruelty of spirit - racism, casteism, and religious or social prejudice.War is such a wasteful activity.Nelson Mandela, Dada Vaswani, Harsh Mander, Shabana Azmi - I admire their humanitarian work. But sadly even Nelson Mandela could not keep corruption out of his cabinet and within a year, I am told, the victims of apartheid turned into perpetrators of corruption on their own people. Greed has no boundaries of colour or country does it?We all go through phases; in one such phase, I was interested to know about the psychic phenomenon.A whole generation is moving away from highly ritualistic practices into a more thinking, spiritual process. By spiritual, I don't refer to a cult or a guru. In your heart, you continue to feel the presence of people who've been dear to you even after they've left.I was extremely close to my mother-in-law and after she, and later my father-in-law passed away, I continue to feel their presence.A story has to have several layers to sustain audience interest in each episode.I do not make resolutions for New Year, but visualise and plan things.Birds and animals in the wild migrate every year to safer and nurturing pastures, leaving behind the old environment. After nurturing their young ones, they return to thrive in the old environs. I use that analogy to meditate. You migrate to your inner soul, nurture the strength, light and creativity there, and return."
148,Amala Paul,"I used to think that only a mother could provide unconditional love and make sacrifices.We actors have a big problem. We have a lot of insecurity and we are fragile. We surround ourselves with people who praise our ego and lie to us... till that moment you realise that these people are not helping you get ahead.I have always been a rebel without a cause.I grow tomatoes, spinach and melons, a pepper vine climbs my coconut tree. I have a home and kitchen of my own.I've turned vegetarian and am on an ayurvedic diet. I go to the beach every day, and I feel the creative energy of Auroville.I want to only be part of films that are worth my time. I give my heart and soul for four-five months and I don't want that to go in vain.I've sold my Mercedes and I'll be getting something electric. I work out of a thatch shed on the roof.I would love to get married, have a baby and adopt one.For the movie 'Bhaskar Oru Rascal' I had to let go of a part of my agreed salary and in fact, had to lend money to the producer when he couldn't meet his financial obligations at the time of the movie's release.Once you are in the character, you should let your inner actor take over you."
149,Amisha Patel,"Had I not made it big, my family would have told me to recheck my decision. Now that I am successful, there is no way. They have to accept it gracefully.I would never deny the importance of the media, but I wouldn't go out of the way to splash my pictures all over town. I'd rather let my work do the talking.I feel French is very close to Urdu. Both languages are beautiful. Sadly, their beauty is lost in translation.I love human beings. I believe that there is so much to learn from every person you meet, including a child.To join or not to join films was the biggest choice I had to make. I'd done two years of biogenetic engineering, was an economics graduate and a gold medalist. I had also been a Bharatanatyam dancer from age five, always won the best actress award in school. Finally, I decided to do things for my soul, chose to act.Being sexy is all about attitude, not body type. It's a state of mind.I work on my body to stay fit, but that does not make me superior to anyone. I am a forthright and hardworking girl.Believe me, it's not easy being an actress and a producer, especially with no big daddy to support you.Life is all about evolution. What looks like a mistake to others has been a milestone in my life. Even if people have betrayed me, even if my heart was broken, even if people misunderstood or judged me, I have learned from these incidents. We are human and we make mistakes, but learning from them is what makes the difference.I reprimand people, even those working with me, for littering the roads."
150,Amrita Singh,"My daughter was never offered 'Student Of The Year 2.'Today's kids have a mind of their own, and they know how to exercise it. Even if I wanted to tell Sara or my son Ibrahim how to lead their lives - which I don't - they would not listen to me. Luckily, Sara chose to complete her studies before pursuing acting. She attended Columbia University and then devoted her attention to Bollywood.I do not know how anyone can mould anyone.Like everybody, I too believed that couples lived happily ever after. But it only happens in books.The best thing about my marriage are my two kids.If my children want to pursue their dreams, I will always support them.I have a bad memory - thank God for that!My kids and I live like three fun-loving hermits. We're quite bohemian.I'd just love to ride off into the sunset with my love. I've only seen the sunset so far. Maybe I can earn my own Ferrari so I can ride off in the sunset without anyone by my side.I need to work to support myself and my kids. No one pays for my support."
151,Amruta Khanvilkar,"There are some women who have made some really hurting remarks about my relationship with my husband Himanshu Malhotra. They even dared to ask me if I have divorced him just because I don't put my pictures with him too often. Now that is really ridiculous!Himanshu and I have known each other for over 13 years, and I don't have to prove anything to anyone. Why should I go gushy over my husband on social media when I would rather keep my love and feelings private?Himanshu and I travel together whenever possible, but there are times when I like to travel with my mother and maasi. It is really shocking that trolls comment on that, too. They say 'Don't you get along with your mother-in-law that you don't take her along?' Now, who would accept such remarks about one's mother?I love kids a lot. I love to spend time with them. They give me the energy to live, and I would love to bring a smile on their faces.Marriage has changed Himmanshoo in some ways. Throughout our 10 years of courtship, he was more liberal. But after marriage, he has become a typical Indian husband.I love Meghna Gulzar's film making and her style of story telling. In her films, every character, small or big, is beautifully etched.When 'Pune-52' was offered to me, I liked the script, but I wasn't convinced about the kissing and other intimate scenes. I tried talking to the director, but things didn't work out.I don't know where things are going wrong. I refused 22 offers for lavani numbers and five films. I was not happy with the kind of offers coming my way. Even for the lavani number 'Vajale Ki Bara' in 'Natarang,' I was the last option. I was finalised one day before the shoot was to begin.I don't know why I am not offered woman-oriented films. Films like 'Satrangee Re' went house-full at some centres, but I didn't have much to do in the film. Everyone came up to me and said that I looked pretty but nothing beyond that.Things work very differently in Bollywood. There is a lot of camping there."
152,Amyra Dastur,"When dancing for mass numbers, you can throw your hands and legs anywhere, but contemporary dance is a whole different ball game. Every move has to be pointed, graceful and must look elegant. It's not easy trust me, but is a lot of fun nevertheless.I really love Vidya Balan and Priyanka Chopra and want to do films like them.I want to do one or two commercial films, but also want to do off-beat movies.I want to be taken seriously as an actress.The first time I visited Jaipur was during a school trip, when I was 14 years old.I am obsessed with silver jewellery, so I visited the Johri Bazar, which is famous for it and bought a lot of silver rings, earrings and pendants.When you are in a different city, you must relish the local food and I always like to try the authentic taste and flavours of a city.I really respect Telugu cinema and the fact that people out here have a totally different style of working and are at par with Bollywood. Sometimes, they beat Bollywood with the kind of films they make.I'm a big fan of RGV and I adore Amala Akkineni.Raju Gadu' is a situational comedy where I play a fun and bubbly character. She's a proper Andhra girl who's modern but loves donning desi looks."
153,Andrea Jeremiah,"I am a huge romantic.I have never thought of myself as an actor.I was almost on the verge of studying medicine. But then, I realised I would have to give up singing. That is when it dawned on me that I could have a career in music.I am not a method actor. I would call myself a spontaneous actor.For an actor with his experience, Kamal Haasan's never shown a complacent 'Been there; done it' attitude.I'm the type who minds my own business and am not keen on giving interviews on my mom's birthday, or my dog's birthday.I firmly believe marriage should happen as a by-product of love.For sure, I won't go hunting for a guy to love and get married to. But once I'm in love, I'll do what it takes to make it work.I work with big directors. I work with good actors. I act in female-centric films. And I do all this without ever indulging in a casting couch experience. Because I believe in hard work, talent, and blessing.Casting couch is not just a man's fault. It is important to say this because we blame the other side always."
154,Anita Hassanandani Reddy,"These 24-hour gyms are a blessing and super convenient. For actors doing daily TV shows, we have to stay in shape.Working out, no matter what time of the night, rejuvenates me. At times, I don't feel sleepy after a workout session, as I am all fresh and charged up, and I don't mind compromising on my sleep.I think that, generally, a woman brings in luck for her husband after marriage, but in my case, my husband is lucky for me.My work is appreciated; I am getting good offers. Honestly, we are both doing well professionally. My husband has also been busy with work, and so have I.Honestly, I have a decent sense of humour with people I am close to.If I am comfortable, I say what I want to. But yes, while doing a comedy show, I am slightly reserved as a person. Since it's scripted, it's not a problem. I can manage.Comedy is the toughest. If it goes little bit here and there, and your partner doesn't cover up for you, then everything can go wrong.My character Preet in 'Fanaah' had a very distinctive appearance: loud make-up and dramatic clothes.We are often told by our friends and family members to not go to a particular place owing to some unkown energies that might have existed there, making us form superstitions in our mind.My role in 'Hero' is not a lengthy one but a powerful one. It was a nice opportunity, and I grabbed it."
155,Anupriya Goenka,"I initially moved to Bombay to work in the corporate space. After settling my family here in due course of time, I turned to acting which initially started off as a hobby that I wanted to pursue on the side and then became my profession to sustain my passion around five years back.That is what I seek, to essay interesting and challenging characters, which develop me as an actor and at a personal level to work with people who inspire me to push my boundaries and work on interesting scripts which which turn into refined work of art and leave a mark on me and the audience.I want to work in different genres with varied teams across different industries and to get as much of an enriching experience as I can. That is my wish.People do recognize me sometimes. I occasionally get stopped and they have lovely things to say which is very overwhelming.I truly enjoy and love acting, it's a passion and is therapeutic for me. It is the one thing that makes me truly happy. My sole goal is to grow as a performer each day.The most important factors for any artist, is the honesty towards one's craft, hard work and passion that guides them.It's a conscious decision to keep trying to do something new, to do things that excite me from my gut.I like to take on roles that help me explore a different side of me, collaborate with people who I've always admired or newer people who have something interesting to say.I was auditioned for 'Sultan' for the lead role in 2015. My auditions were very detailed as it was for the female lead. They took around 10-11 auditions for it in the span of 2 weeks. It was very hectic and tiring for me.In fact, Salman Khan is a kind of an actor who doesn't take anyone's limelight while shooting. He is a very secure actor. He has some kind of aura around him. He is least bothered as to which actor is getting how much screen space."
156,Anushka Sharma,"Tell me one director who will go on record to say that I don't get along with them? I get along famously with all my directors because I am what I am today because of them.We all know that a beautiful face is an important aspect of an actor's personality if he or she wants to make it big in Bollywood.I am not as confident as the characters I play. I am a bit aloof. I am uncomfortable in social situations.I do not consider myself a feminist. I do not believe that by doing female-oriented films that depict a woman fighting the system, we can change the system.I think compassion is important but love fizzles out eventually. But if there is compassion in a relationship, things can always be worked out.Sometimes I get extremely disturbed with the things that are written. But you can't do anything about it. As a celebrity, you are putting yourself out there to be judged, and that's fine. I am now learning not to get affected by such things. I am building my career and making choices that I think are right while minding my own business.I take pride in saying that I am an army officer's daughter even more than being an actor.Once, I was coming back from school, and there was this guy who was eve-teasing me and my friend. I had a Milton water bottle that I flung it at his face. My dad told me if you are in a crowded place and a guy eve-teases, you should make noise. I did exactly that and got people on the road to beat up the guy.When I meet someone from the army background, there is an instant connection. We live in the best five-star hotels of the world, but outside my home I will be equally comfortable in any army cantonment or army guest house. Telling my friends that my father was in the army was like telling them that he is the second-richest man in the world.I have never been a girlie girl and have always been a boys' girl with an equal amount of friends who were boys and girls."
157,Anushka Shetty,"When I used to teach yoga in Bangalore and Mumbai, I noticed many clients struggling to cope with their weight. During some days, they would come in with plans to work out harder than usual because of events they'd have to attend later that week. The insecurity of appearance is something everyone goes through... even I.Factors such as timing, luck, and destiny have a bearing on success. But success and failure are good teachers. Failure means something better is waiting for you. But I will allow myself to get upset at failure only if I know I have not given it my all.Once the makeup is on, it is easy to enter the character's frame of mind.I'm still surprised when people tell me I look like a queen.When it comes to guys, my dad is the measure of the perfect man. And that's a pretty tough standard to match up to.It's very important to be conscious and happy from within. No beauty cream can come close to the wonders a balanced body-mind can do for you.I like men with honest, frank eyes. And that's the reason I cannot talk anyone who has their sunglasses on.Yoga has always been a part of my life, and it has had a major effect on me as a person, inside-out.I can put all the idols on my bed and sleep, I'm so fond of them.I have no problems with failures, I'm afraid of failing within myself. At times when I know I did something wrong, I don't sleep that night. I'm scared of facing myself."
158,Asha Parekh,"My mother was very keen I learn dance and I learnt so many forms.I did 6-7 films as a child. But it was taking a toll on my studies. So I went back to being a full-time student at JB Petit here in Mumbai.In fact, I never gave up doing dance shows despite films and even started my own dance school.I feel blessed and lucky that some of the film industry's most magical and iconic songs where legendary composers and singers have collaborated have been filmed on me.I know I admitted to being in love with Nasir Hussain in 'The Hit Girl', but as much as I loved him, I could never consider breaking up his family and traumatising his children. It was far simpler and satisfying to be on my own.I met my share of boys but the end result was always the same - they weren't the right kind of men for me.Over time, my mother also gave up her dream of seeing me as a bride because whomever she showed my horoscope to would say my marriage wouldn't be a successful one. It was not the kind of thing I believed in, but it did grant me some semblance of peace.Marriage is not all rainbows and butterflies; you have to give in to your partner's whims every now and then, and that's a two-way street.But since I did my first film with Shammi Kapoor ji, he is my favourite. I was very shy to face the camera. In my first few shots with Shammi chacha, I was very nervous. He was very patient with me and guided me in every shot.I was a dancer, so it was easy for me to dance in films. I had studied Kathak, Bharatnatyam, Kuchipudi, Odisi and Kathakali much before I even thought of becoming an actor."
159,Asin,"Most actors don't like doing still photo shoots, but I love them. I'm very comfortable, and I enjoy the clothes, looking good, and freezing the moment.Apart from English, I speak my mother tongue Malayalam, as well as Tamil, Telugu, and a bit of Kannada and French.I know Hindi.I've dubbed for all my films, including 'Ghajini.'My film career was never planned.I will definitely be doing films down south if anything good comes along.I would like to do all kinds of films.Now that I am a part of the Hindi film industry, I hope I can do different roles with a lot of scope.It was coincidental that 'Housefull 2' and 'Bol Bachchan' came back-to-back. It's not that I have a special affinity for them and so I chose them; they just came my way.I am flexible and comfortable enough to pull off any genre."
160,Bhumi Pednekar,"I love wearing heels.I stand for body confidence and against fat shaming, but I will not support people who live on bad cholesterol.I take two hours to get ready. I believe in the power of make-up.Just because I am an opinionated and strong girl doesn't mean that I don't believe in vanity.I have always had a flair for acting; maybe that's why I enjoyed casting so much.I just want to work with talented people and learn from them.I'm a very big Shah Rukh Khan and Salman Khan fan. I've grown up seeing them, and they're larger-than-life in the true sense for me.I've always been an overweight girl, and I've never had an issue with that. I'm very comfortable with my body.I have a strong personality - I know who I'm outside my work, and I'm nothing like the characters I portray.I have realised what my pitch is, and I'm in this industry for the pure reason that I love acting."
161,Bipasha Basu,"I don't think I've done any profound work yet... People ask me, 'How would you want to be remembered?' I tell them I don't want to be remembered! I'm not here to become a Madhubala or receive a Lifetime Achievement Award. I'm not that kind of a person. And I'm not brash about it; it's just the way I am.I keep my distance from politics. Lots of money has been offered to me for campaigning over the years, and I have always refused. I used to be very politically aware and very opinionated, but I don't want to involve myself.When things have gone really wrong in my life, I've cried like a child. I have really, really cried. I cry it out. Two-three days I cry, and then I'm like, enough, time to deal with reality and figure a way out. This is the way I have dealt with everything.You're born single, you die single, but why not being in a relationship is some special 'single' status, I don't understand. Life is less stress being single, I have to admit.It was Vikram Bhatt and 'Raaz' that got me interested in the medium of cinema. Before that, I was like any other youngster dabbling with various things - modelling, films - without a definite direction or focus. Now that I'm working with all of them, life has come full circle for me.I believe everything negative that happens in your life is for a positive reason. If your heart breaks, you know that you are a human being and it happens. But you can't mope over it. There's only one life. You better get on ahead and fast. Fast enough not to let your past ever catch up with you.I am a positive person. I am not cynical. If you are born in this world, no matter who you are, negative things will happen. If you aren't positive as a person, you'll be very unhappy. It's extremely important to be positive, to laugh, to be happy, to accept life as it comes.I have blind trust in people. Even if that ends up hurting me, I won't change. I will go on trusting people because that's the only way I know to love someone.I can't let the baggage of my private life get into work. Artists are more fragile than normal people. But I know that I am a role model for zillions of people, so no matter how deep you are hurting, you need to come out strong.Nothing can save something that is not meant to be, no matter how hard you try."
162,Deepika Padukone,"I am not very comfortable about dancing at weddings and New Year parties. Maybe it's because of the way I have been brought up; I wouldn't want my family to feel that cringe moment. Dance is an art for me.I feel ups and downs are a part of one's career, and this totally depends on how you take it. You can either be knocked down by the negative things, or you can take it in a positive way and learn from it.Maybe because I am from a sports background, I don't give up easily. I am a fighter.My character in 'Cocktail' was different from my personality. Homi Adajania took me to London, showed me how girls dress and behave there. I had not seen that kind of lifestyle before.Preparation is definitely important, but it depends on the kinds of roles I do. Like, I completely identify with my character in 'Yeh Jawaani Hai Deewani.' I had to be myself and I didn't have to actually prepare for it.Comedy is the most difficult. Comic timing is something which you either have it in you, or you don't. You have to have a good sense of humour to be able to understand it. A split second can make you lose the punch.I have always believed that chemistry can't be created between two people. You either have it or you don't. The script can only enhance it.For me, competition is good; that is what keeps me on my toes and keeps me going. I am always trying to better my own work, do better than my earlier films... do films that are challenging and exciting for me.At some level, I feel it is nice to know that a film of yours is doing well at the box office and has also got great reviews. That feels like success.The best feeling is when you are remembered for the character you play on the screen and people associate you with that character. There is no better feeling than that feeling."
